confidence,holding_period,var,cvar
0.9000000000,1,0.0193802655,0.0264400379
0.9000000000,5,0.0438611321,0.0594735839
0.9000000000,10,0.0622540751,0.0844935597
0.9500000000,1,0.0248504318,0.0310106562
0.9500000000,5,0.0559427301,0.0695556620
0.9500000000,10,0.0794236557,0.0989180708
0.9900000000,1,0.0350170843,0.0401213532
0.9900000000,5,0.0780973080,0.0892736105
0.9900000000,10,0.1113635194,0.1271461183
